Symbol,Structure,Score
2461,S10;L10;R10,100
1904,S2;L2;R2,100
5483,S1;L1;R1,100
4566,S6;L6;R6,100
3703,S1;L1;R1,100
5483,S1;L1;R1,100
3705,S2;L2;R2,100
ORLY,S1;L1;R1,100
EDU,S4;L4;R4,100
FFIN,S1;L1;R1,100
LIVE,S2;L2;R2,100
RTAC,S1;L1;R1,100
NIE,S1;L1;R1,100
4106,S3;L3;R3,90
8255,S9;L9;R9,90
2462,S1;L1;R1,90
2049,S6;L6;R6,90
2474,S8;L8;R8,90
GSBD,S8;L8;R8,90
CNS,S4;L4;R4,90
DOC,S6;L6;R6,90
DLR,S1;L1;R1,90
MAS,S5;L5;R5,90
MCBS,S11;L11;R11,90
IRM,S3;L3;R3,90
HSIC,S7;L7;R7,90
MRP,S2;L2;R2,90
GRVY,S2;L2;R2,90
HIG,S4;L4;R4,90
GUG,S7;L7;R7,90
HNI,S2;L2;R2,90
HOMB,S11;L11;R11,90
FSUN,S4;L4;R4,90
FAST,S2;L2;R2,90
BJRI,S3;L3;R3,90
BRK-B,S2;L2;R2,90
CENTA,S7;L7;R7,90
BYD,S11;L11;R11,90
EPAC,S1;L1;R1,90
FBK,S5;L5;R5,90
EXR,S5;L5;R5,90
EQR,S7;L7;R7,90
BSVN,S1;L1;R1,90
AXR,S2;L2;R2,90
3580,S4;L4;R4,90
2356,S8;L8;R8,90
2332,S5;L5;R5,90
8383,S1;L1;R1,90
6643,S3;L3;R3,90
8383,S1;L1;R1,90
IGIC,S5;L5;R5,90
PBFS,S7;L7;R7,90
PROV,S16;L16;R16,90
LADR,S11;L11;R11,90
OSW,S1;L1;R1,90
OCFC,S7;L7;R7,90
MLR,S1;L1;R1,90
PRK,S2;L2;R2,90
XIFR,S5;L5;R5,90
TCBX,S1;L1;R1,90
TT,S1;L1;R1,90
USPH,S1;L1;R1,90
SBSI,S7;L7;R7,90
TDG,S6;L6;R6,90
SHO,S9;L9;R9,90
SILA,S5;L5;R5,90
CWT,S5;L5;R5,85
NMIH,S9;L9;R9,85
OZK,S7;L7;R7,85
MPV,S3;L3;R3,85
NBTB,S5;L5;R5,85
MCI,S9;L9;R9,85
CHE,S11;L11;R11,85
BANF,S1;L1;R1,85
CCS,S1;L1;R1,85
BTO,S8;L8;R8,85
CUBE,S7;L7;R7,85
5272,S1;L1;R1,85
AGO,S3;L3;R3,85
1402,S7;L7;R7,85
2002,S3;L3;R3,85
5906,S5;L5;R5,85
SIM,S10;L10;R10,85
UL,S12;L12;R12,85
SYBT,S2;L2;R2,85
SXT,S2;L2;R2,85
VVV,S1;L1;R1,85
PNFP,S6;L6;R6,85
SAR,S2;L2;R2,85
SIGI,S7;L7;R7,85
SFNC,S10;L10;R10,85
PHM,S1;L1;R1,85
MLKN,S3;L3;R3,85
MMM,S12;L12;R12,85
PEG,S2;L2;R2,85
PB,S5;L5;R5,85
LUXE,S2;L2;R2,85
IBKR,S1;L1;R1,85
GNE,S2;L2;R2,85
FLR,S1;L1;R1,85
EOI,S3;L3;R3,85
EG,S4;L4;R4,85
DLY,S9;L9;R9,85
CLBK,S16;L16;R16,85
BKSY,S1;L1;R1,85
BYD,S14;L14;R14,85
CHCO,S15;L15;R15,85
CIM,S2;L2;R2,85
CI,S2;L2;R2,85
3289,S4;L4;R4,80
1513,S2;L2;R2,80
2034,S6;L6;R6,80
2542,S1;L1;R1,80
1215,S3;L3;R3,80
AMTB,S6;L6;R6,80
ACGL,S4;L4;R4,80
ACLS,S7;L7;R7,80
ACLS,S6;L6;R6,80
AAT,S5;L5;R5,80
9933,S2;L2;R2,80
6166,S2;L2;R2,80
6488,S1;L1;R1,80
6449,S1;L1;R1,80
6488,S1;L1;R1,80
3501,S4;L4;R4,80
5222,S3;L3;R3,80
5388,S3;L3;R3,80
4994,S2;L2;R2,80
5215,S6;L6;R6,80
5907,S7;L7;R7,80
3587,S5;L5;R5,80
4976,S3;L3;R3,80
1476,S1;L1;R1,80
1476,S4;L4;R4,80
2382,S4;L4;R4,80
2332,S7;L7;R7,80
BANR,S4;L4;R4,80
ASRT,S1;L1;R1,80
BMRN,S5;L5;R5,80
CDNA,S3;L3;R3,80
CENT,S8;L8;R8,80
AZO,S5;L5;R5,80
ARDT,S2;L2;R2,80
BKE,S3;L3;R3,80
CSL,S2;L2;R2,80
COST,S4;L4;R4,80
GME,S2;L2;R2,80
GCBC,S1;L1;R1,80
GBCI,S1;L1;R1,80
FMS,S9;L9;R9,80
FTNT,S4;L4;R4,80
GLIBK,S1;L1;R1,80
FBP,S8;L8;R8,80
FCN,S9;L9;R9,80
EXR,S10;L10;R10,80
ESNT,S3;L3;R3,80
ETN,S2;L2;R2,80
CCAP,S8;L8;R8,80
COFS,S7;L7;R7,80
CNS,S3;L3;R3,80
IAC,S7;L7;R7,80
IDCC,S1;L1;R1,80
NSA,S3;L3;R3,80
MGRC,S6;L6;R6,80
MCI,S15;L15;R15,80
MSM,S13;L13;R13,80
KRNT,S1;L1;R1,80
IBOC,S10;L10;R10,80
LTH,S3;L3;R3,80
LKFN,S2;L2;R2,80
SCI,S10;L10;R10,80
SBAC,S3;L3;R3,80
RNST,S3;L3;R3,80
PHG,S1;L1;R1,80
PLMR,S3;L3;R3,80
SFBS,S4;L4;R4,80
STC,S6;L6;R6,80
XIFR,S8;L8;R8,80
